source,Variation,location,description,attributes_associated_gene,gene_id,transcript_id,protein_id,mapped_to_accession,attributes_p_value,var_class,most_severe_consequence,consequence_terms,assembly_name,MAF,protein_start,protein_end,amino_acids,evidence,clinical_significance,pmid,pop.gnomad_East_Asian,pop.gnomad_African,pop.gnomad,pop.gnomad_Latino,pop.gnomad_Ashkenazi_Jewish,pop.gnomad_Finnish,pop.gnomad_European_Non_Finnish,pop.gnomad_Other,pop.gnomad_South_Asian,protein_length
ClinVar,rs121912705,4:113367764-113367764,Cardiac arrhythmia,ANK2,ENSG00000145362,ENST00000504415,ENSP00000426994,HP:0011675,NA,SNP,stop_gained,downstream_gene_variant,GRCh38,NA,NA,NA,NA,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,187
ClinVar,rs121912705,4:113367764-113367764,Arrhythmia,ANK2,ENSG00000145362,ENST00000504415,ENSP00000426994,HP:0011675,NA,SNP,stop_gained,downstream_gene_variant,GRCh38,NA,NA,NA,NA,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",not provided,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,187
ClinVar,rs121912705,4:113367764-113367764,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000504415,ENSP00000426994,HP:0011675,NA,SNP,stop_gained,downstream_gene_variant,GRCh38,NA,NA,NA,NA,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",pathogenic,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,187
ClinVar,rs121912705,4:113367764-113367764,Cardiac arrhythmia,ANK2,ENSG00000145362,ENST00000612754,ENSP00000482888,HP:0011675,NA,SNP,stop_gained,3_prime_UTR_variant,GRCh38,NA,NA,NA,NA,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,180
ClinVar,rs121912705,4:113367764-113367764,Arrhythmia,ANK2,ENSG00000145362,ENST00000612754,ENSP00000482888,HP:0011675,NA,SNP,stop_gained,3_prime_UTR_variant,GRCh38,NA,NA,NA,NA,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",not provided,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,180
ClinVar,rs121912705,4:113367764-113367764,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000612754,ENSP00000482888,HP:0011675,NA,SNP,stop_gained,3_prime_UTR_variant,GRCh38,NA,NA,NA,NA,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",pathogenic,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,180
ClinVar,rs121912706,4:113373306-113373306,Cardiac arrhythmia,ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,missense_variant,missense_variant,GRCh38,6.00E-04,3873,3873,R/W,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0.000465,0.0001307,0.001009,0.000834,0.0003051,0.000314,0.001742,0.0001825,0.0001624,3924
ClinVar,rs121912706,4:113373306-113373306,Arrhythmia,ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,missense_variant,missense_variant,GRCh38,6.00E-04,3873,3873,R/W,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",not provided,NA,0.000465,0.0001307,0.001009,0.000834,0.0003051,0.000314,0.001742,0.0001825,0.0001624,3924
ClinVar,rs121912706,4:113373306-113373306,Cardiac arrhythmia,ANK2,ENSG00000145362,ENST00000506344,ENSP00000422888,HP:0011675,NA,SNP,missense_variant,upstream_gene_variant,GRCh38,6.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0.000465,0.0001307,0.001009,0.000834,0.0003051,0.000314,0.001742,0.0001825,0.0001624,197
ClinVar,rs121912706,4:113373306-113373306,Arrhythmia,ANK2,ENSG00000145362,ENST00000506344,ENSP00000422888,HP:0011675,NA,SNP,missense_variant,upstream_gene_variant,GRCh38,6.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",not provided,NA,0.000465,0.0001307,0.001009,0.000834,0.0003051,0.000314,0.001742,0.0001825,0.0001624,197
ClinVar,rs121912706,4:113373306-113373306,Cardiac arrhythmia,ANK2,ENSG00000145362,ENST00000612754,ENSP00000482888,HP:0011675,NA,SNP,missense_variant,3_prime_UTR_variant,GRCh38,6.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0.000465,0.0001307,0.001009,0.000834,0.0003051,0.000314,0.001742,0.0001825,0.0001624,180
ClinVar,rs121912706,4:113373306-113373306,Arrhythmia,ANK2,ENSG00000145362,ENST00000612754,ENSP00000482888,HP:0011675,NA,SNP,missense_variant,3_prime_UTR_variant,GRCh38,6.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",not provided,NA,0.000465,0.0001307,0.001009,0.000834,0.0003051,0.000314,0.001742,0.0001825,0.0001624,180
ClinVar,rs12577654,11:2662099-2662099,Cardiac arrhythmia,"KCNQ1OT1,KCNQ1",ENSG00000053918,ENST00000155840,ENSP00000155840,HP:0011675,NA,SNP,non_coding_transcript_exon_variant,intron_variant,GRCh38,0.0192,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.03844,0.009736,0.009518,0.0005956,0,0.002747,0.0003677,0.003466,0.0451,676
ClinVar,rs12577654,11:2662099-2662099,Cardiac arrhythmia,"KCNQ1OT1,KCNQ1",ENSG00000269821,ENST00000597346,NA,HP:0011675,NA,SNP,non_coding_transcript_exon_variant,non_coding_transcript_exon_variant,GRCh38,0.0192,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.03844,0.009736,0.009518,0.0005956,0,0.002747,0.0003677,0.003466,0.0451,NA
ClinVar,rs138842207,4:113353363-113353363,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,missense_variant,missense_variant,GRCh38,4.00E-04,1549,1549,R/Q,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,0.0007168,0.0001788,0,0.0001794,0.001485,0,3.25E-05,3924
ClinVar,rs138842207,4:113353363-113353363,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000394537,ENSP00000378044,HP:0011675,NA,SNP,missense_variant,intron_variant,GRCh38,4.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,0.0007168,0.0001788,0,0.0001794,0.001485,0,3.25E-05,1872
ClinVar,rs138842207,4:113353363-113353363,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000505342,ENSP00000422498,HP:0011675,NA,SNP,missense_variant,upstream_gene_variant,GRCh38,4.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,0.0007168,0.0001788,0,0.0001794,0.001485,0,3.25E-05,1028
ClinVar,rs138842207,4:113353363-113353363,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000508007,NA,HP:0011675,NA,SNP,missense_variant,"intron_variant,non_coding_transcript_variant",GRCh38,4.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,0.0007168,0.0001788,0,0.0001794,0.001485,0,3.25E-05,NA
ClinVar,rs138842207,4:113353363-113353363,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000512298,NA,HP:0011675,NA,SNP,missense_variant,downstream_gene_variant,GRCh38,4.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,0.0007168,0.0001788,0,0.0001794,0.001485,0,3.25E-05,NA
ClinVar,rs138928206,4:113358144-113358144,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,missense_variant,missense_variant,GRCh38,NA,3143,3143,D/Y,"Frequency,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,0.0001752,0,0,8.97E-05,0.0003601,0.0001829,0,3924
ClinVar,rs138928206,4:113358144-113358144,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000394537,ENSP00000378044,HP:0011675,NA,SNP,missense_variant,intron_variant,GRCh38,NA,NA,NA,NA,"Frequency,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,0.0001752,0,0,8.97E-05,0.0003601,0.0001829,0,1872
ClinVar,rs138928206,4:113358144-113358144,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000503423,ENSP00000421011,HP:0011675,NA,SNP,missense_variant,downstream_gene_variant,GRCh38,NA,NA,NA,NA,"Frequency,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,0.0001752,0,0,8.97E-05,0.0003601,0.0001829,0,1611
ClinVar,rs138928206,4:113358144-113358144,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000508007,NA,HP:0011675,NA,SNP,missense_variant,"intron_variant,non_coding_transcript_variant",GRCh38,NA,NA,NA,NA,"Frequency,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,0.0001752,0,0,8.97E-05,0.0003601,0.0001829,0,NA
ClinVar,rs138928206,4:113358144-113358144,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000612754,ENSP00000482888,HP:0011675,NA,SNP,missense_variant,3_prime_UTR_variant,GRCh38,NA,NA,NA,NA,"Frequency,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,0.0001752,0,0,8.97E-05,0.0003601,0.0001829,0,180
ClinVar,rs138959557,17:8289331-8289331,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000108961,ENST00000226105,ENSP00000226105,HP:0011675,NA,SNP,synonymous_variant,synonymous_variant,GRCh38,0.0054,90,90,L/L,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.01085,0.000739,0.0002978,0,0,1.79E-05,0.0005468,3.25E-05,186
ClinVar,rs138959557,17:8289331-8289331,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000125434,ENST00000380067,ENSP00000369407,HP:0011675,NA,SNP,synonymous_variant,3_prime_UTR_variant,GRCh38,0.0054,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.01085,0.000739,0.0002978,0,0,1.79E-05,0.0005468,3.25E-05,295
ClinVar,rs138959557,17:8289331-8289331,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000125434,ENST00000577745,ENSP00000464231,HP:0011675,NA,SNP,synonymous_variant,downstream_gene_variant,GRCh38,0.0054,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.01085,0.000739,0.0002978,0,0,1.79E-05,0.0005468,3.25E-05,300
ClinVar,rs138959557,17:8289331-8289331,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000108961,ENST00000578849,NA,HP:0011675,NA,SNP,synonymous_variant,non_coding_transcript_exon_variant,GRCh38,0.0054,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.01085,0.000739,0.0002978,0,0,1.79E-05,0.0005468,3.25E-05,NA
ClinVar,rs138959557,17:8289331-8289331,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000125434,ENST00000579192,ENSP00000462395,HP:0011675,NA,SNP,synonymous_variant,intron_variant,GRCh38,0.0054,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.01085,0.000739,0.0002978,0,0,1.79E-05,0.0005468,3.25E-05,295
ClinVar,rs138959557,17:8289331-8289331,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000125434,ENST00000581320,NA,HP:0011675,NA,SNP,synonymous_variant,upstream_gene_variant,GRCh38,0.0054,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.01085,0.000739,0.0002978,0,0,1.79E-05,0.0005468,3.25E-05,NA
ClinVar,rs138959557,17:8289331-8289331,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000125434,ENST00000585311,ENSP00000464191,HP:0011675,NA,SNP,synonymous_variant,"3_prime_UTR_variant,NMD_transcript_variant",GRCh38,0.0054,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.01085,0.000739,0.0002978,0,0,1.79E-05,0.0005468,3.25E-05,291
ClinVar,rs139199018,4:113274639-113274639,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,missense_variant,missense_variant,GRCh38,NA,558,558,L/S,"Frequency,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",uncertain significance,NA,0,0.0006537,4.07E-05,0,0,0,0,0,0,3924
ClinVar,rs139528815,4:113333220-113333220,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,intron_variant,intron_variant,GRCh38,0.0082,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.02581,0.001829,0.0014,0,0,4.49E-05,0.0005472,0,3924
ClinVar,rs139528815,4:113333220-113333220,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000504887,NA,HP:0011675,NA,SNP,intron_variant,upstream_gene_variant,GRCh38,0.0082,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.02581,0.001829,0.0014,0,0,4.49E-05,0.0005472,0,NA
ClinVar,rs139528815,4:113333220-113333220,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000514160,NA,HP:0011675,NA,SNP,intron_variant,"intron_variant,non_coding_transcript_variant",GRCh38,0.0082,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.02581,0.001829,0.0014,0,0,4.49E-05,0.0005472,0,NA
ClinVar,rs139528815,4:113333220-113333220,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000515644,NA,HP:0011675,NA,SNP,intron_variant,downstream_gene_variant,GRCh38,0.0082,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.02581,0.001829,0.0014,0,0,4.49E-05,0.0005472,0,NA
ClinVar,rs139532210,20:33439032-33439032,Cardiac arrhythmia,SNTA1,ENSG00000101400,ENST00000217381,ENSP00000217381,HP:0011675,NA,SNP,splice_region_variant,"splice_region_variant,intron_variant",GRCh38,0.002,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",uncertain significance,NA,0,0.006929,0.0004509,0.0001489,0,0,0,0,0,505
ClinVar,rs139893914,4:113293432-113293432,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,splice_region_variant,"splice_region_variant,intron_variant",GRCh38,0.0042,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed",benign/likely benign,NA,5.80E-05,0,1.63E-05,0,0,0,2.69E-05,0,0,3924
ClinVar,rs139893914,4:113293432-113293432,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000502701,NA,HP:0011675,NA,SNP,splice_region_variant,non_coding_transcript_exon_variant,GRCh38,0.0042,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed",benign/likely benign,NA,5.80E-05,0,1.63E-05,0,0,0,2.69E-05,0,0,NA
ClinVar,rs140704891,17:8289059-8289059,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000108961,ENST00000226105,ENSP00000226105,HP:0011675,NA,SNP,stop_gained,missense_variant,GRCh38,0.0012,61,61,E/K,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0,4.09E-06,0,0,0,9.07E-06,0,0,186
ClinVar,rs140704891,17:8289059-8289059,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000108961,ENST00000226105,ENSP00000226105,HP:0011675,NA,SNP,stop_gained,stop_gained,GRCh38,0.0012,61,61,E/*,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0,4.09E-06,0,0,0,9.07E-06,0,0,186
ClinVar,rs140704891,17:8289059-8289059,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000125434,ENST00000380067,ENSP00000369407,HP:0011675,NA,SNP,stop_gained,3_prime_UTR_variant,GRCh38,0.0012,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0,4.09E-06,0,0,0,9.07E-06,0,0,295
ClinVar,rs140704891,17:8289059-8289059,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000125434,ENST00000577745,ENSP00000464231,HP:0011675,NA,SNP,stop_gained,downstream_gene_variant,GRCh38,0.0012,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0,4.09E-06,0,0,0,9.07E-06,0,0,300
ClinVar,rs140704891,17:8289059-8289059,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000108961,ENST00000578849,NA,HP:0011675,NA,SNP,stop_gained,non_coding_transcript_exon_variant,GRCh38,0.0012,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0,4.09E-06,0,0,0,9.07E-06,0,0,NA
ClinVar,rs140704891,17:8289059-8289059,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000125434,ENST00000579192,ENSP00000462395,HP:0011675,NA,SNP,stop_gained,intron_variant,GRCh38,0.0012,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0,4.09E-06,0,0,0,9.07E-06,0,0,295
ClinVar,rs140704891,17:8289059-8289059,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000125434,ENST00000581320,NA,HP:0011675,NA,SNP,stop_gained,upstream_gene_variant,GRCh38,0.0012,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0,4.09E-06,0,0,0,9.07E-06,0,0,NA
ClinVar,rs140704891,17:8289059-8289059,Cardiac arrhythmia,"RANGRF,SLC25A35",ENSG00000125434,ENST00000585311,ENSP00000464191,HP:0011675,NA,SNP,stop_gained,"3_prime_UTR_variant,NMD_transcript_variant",GRCh38,0.0012,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0,4.09E-06,0,0,0,9.07E-06,0,0,291
ClinVar,rs141191319,4:113355750-113355750,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,missense_variant,missense_variant,GRCh38,8.00E-04,2345,2345,E/K,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0005231,0.002294,0.0004471,0.002648,0.001839,0.003937,0.002927,0.0006498,3924
ClinVar,rs141191319,4:113355750-113355750,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000394537,ENSP00000378044,HP:0011675,NA,SNP,missense_variant,intron_variant,GRCh38,8.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0005231,0.002294,0.0004471,0.002648,0.001839,0.003937,0.002927,0.0006498,1872
ClinVar,rs141191319,4:113355750-113355750,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000503423,ENSP00000421011,HP:0011675,NA,SNP,missense_variant,downstream_gene_variant,GRCh38,8.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0005231,0.002294,0.0004471,0.002648,0.001839,0.003937,0.002927,0.0006498,1611
ClinVar,rs141191319,4:113355750-113355750,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000505342,ENSP00000422498,HP:0011675,NA,SNP,missense_variant,upstream_gene_variant,GRCh38,8.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0005231,0.002294,0.0004471,0.002648,0.001839,0.003937,0.002927,0.0006498,1028
ClinVar,rs141191319,4:113355750-113355750,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000508007,NA,HP:0011675,NA,SNP,missense_variant,"intron_variant,non_coding_transcript_variant",GRCh38,8.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0005231,0.002294,0.0004471,0.002648,0.001839,0.003937,0.002927,0.0006498,NA
ClinVar,rs141191319,4:113355750-113355750,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000612754,ENSP00000482888,HP:0011675,NA,SNP,missense_variant,5_prime_UTR_variant,GRCh38,8.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0005231,0.002294,0.0004471,0.002648,0.001839,0.003937,0.002927,0.0006498,180
ClinVar,rs141965666,4:113288495-113288495,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,intron_variant,intron_variant,GRCh38,0.001,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0004577,0.00253,0.0005067,0.002742,0.002667,0.004149,0.003288,0.001008,3924
ClinVar,rs141965666,4:113288495-113288495,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000502701,NA,HP:0011675,NA,SNP,intron_variant,upstream_gene_variant,GRCh38,0.001,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0004577,0.00253,0.0005067,0.002742,0.002667,0.004149,0.003288,0.001008,NA
ClinVar,rs142159132,4:113264911-113264911,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,missense_variant,synonymous_variant,GRCh38,0.0016,467,467,A/A,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign/likely benign,NA,0,0.0004111,0.002444,0.002683,0.008383,0.0002452,0.003464,0.00263,0.0006702,3924
ClinVar,rs142908806,4:113358989-113358989,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,missense_variant,synonymous_variant,GRCh38,0.002,3424,3424,T/T,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign/likely benign,NA,0,0.0005239,0.002465,0.002147,0.003561,0.001256,0.003781,0.003473,0.0007472,3924
ClinVar,rs142908806,4:113358989-113358989,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000394537,ENSP00000378044,HP:0011675,NA,SNP,missense_variant,intron_variant,GRCh38,0.002,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign/likely benign,NA,0,0.0005239,0.002465,0.002147,0.003561,0.001256,0.003781,0.003473,0.0007472,1872
ClinVar,rs142908806,4:113358989-113358989,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000508007,NA,HP:0011675,NA,SNP,missense_variant,"intron_variant,non_coding_transcript_variant",GRCh38,0.002,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign/likely benign,NA,0,0.0005239,0.002465,0.002147,0.003561,0.001256,0.003781,0.003473,0.0007472,NA
ClinVar,rs142908806,4:113358989-113358989,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000612754,ENSP00000482888,HP:0011675,NA,SNP,missense_variant,3_prime_UTR_variant,GRCh38,0.002,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign/likely benign,NA,0,0.0005239,0.002465,0.002147,0.003561,0.001256,0.003781,0.003473,0.0007472,180
ClinVar,rs143906555,1:237648589-237648589,Cardiac arrhythmia,RYR2,ENSG00000198626,ENST00000360064,ENSP00000353174,HP:0011675,NA,SNP,synonymous_variant,synonymous_variant,GRCh38,0.0014,2480,2480,L/L,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.0007545,0.003858,0.001057,0.0007287,0.01449,0.004528,0.003343,0.001488,4950
ClinVar,rs145895389,4:113356972-113356972,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,missense_variant,missense_variant,GRCh38,6.00E-04,2752,2752,S/L,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.000327,0.001621,0.0003577,0.001223,0.0007627,0.003024,0.002382,0.00013,3924
